ts,open,high,low,close,volume
1526767200000,8197.99,8231.35,8171.44,8221.55,169.64
1526770800000,8221.55,8244.08,8205.0,8235.6,117.85
1526774400000,8235.6,8236.99,8188.0,8200.59,104.63
1526778000000,8200.59,8218.9,8172.0,8218.9,139.58
1526781600000,8218.9,8275.0,8216.53,8275.0,151.25
1526785200000,8275.0,8281.61,8242.0,8255.91,132.86
1526788800000,8255.91,8264.12,8242.07,8264.12,46.68
1526792400000,8264.12,8270.0,8248.0,8253.79,69.17
1526796000000,8253.79,8266.0,8250.82,8250.82,50.02
1526799600000,8250.82,8266.38,8229.93,8262.43,68.55
1526803200000,8262.43,8285.0,8256.32,8280.3,76.91
1526806800000,8280.3,8349.99,8270.05,8346.91,313.75
1526810400000,8346.91,8373.35,8327.0,8346.1,153.24
1526814000000,8346.1,8346.1,8330.0,8337.48,61.73
1526817600000,8337.48,8350.0,8295.96,8311.55,144.31
1526821200000,8311.55,8329.86,8297.67,8325.8,162.99
1526824800000,8325.8,8349.77,8319.99,8341.15,165.18
1526828400000,8341.15,8374.0,8340.0,8373.79,222.81
1526832000000,8373.79,8541.24,8373.79,8487.65,737.04
1526835600000,8487.65,8529.17,8469.46,8510.0,321.19
1526839200000,8510.0,8549.28,8510.0,8520.0,224.84
1526842800000,8520.0,8520.01,8481.0,8515.03,179.2
1526846400000,8515.03,8596.74,8515.03,8555.05,262.06
1526850000000,8555.05,8560.03,8515.0,8515.16,182.71
1526853600000,8515.16,8535.03,8480.0,8481.99,198.04
1526857200000,8481.99,8516.86,8481.99,8516.86,104.68
1526860800000,8516.86,8539.0,8461.21,8475.01,195.1
1526864400000,8475.01,8486.66,8436.0,8454.69,217.55
1526868000000,8454.69,8512.79,8454.69,8496.8,245.96
1526871600000,8496.8,8509.33,8479.46,8492.01,101.22
1526875200000,8492.01,8519.99,8488.06,8511.12,80.16
1526878800000,8511.12,8518.24,8497.55,8513.52,68.44
1526882400000,8513.52,8584.39,8480.0,8549.44,311.21
1526886000000,8549.44,8577.02,8520.01,8535.2,291.21
1526889600000,8535.2,8535.21,8491.0,8518.93,104.67
1526893200000,8518.93,8518.93,8475.0,8476.01,100.44
1526896800000,8476.01,8489.95,8438.08,8467.56,250.12
1526900400000,8467.56,8489.99,8433.23,8488.3,137.09
1526904000000,8488.3,8507.4,8472.99,8498.88,183.29
1526907600000,8498.88,8504.56,8475.0,8486.39,176.61
1526911200000,8486.39,8489.99,8361.49,8401.77,578.25
1526914800000,8401.77,8420.0,8382.88,8403.99,183.52
1526918400000,8403.99,8404.0,8371.01,8391.96,211.58
1526922000000,8391.96,8400.0,8384.0,8385.71,136.74
1526925600000,8385.71,8385.71,8309.23,8349.99,362.35
1526929200000,8349.99,8385.56,8349.99,8381.66,310.39
1526932800000,8381.66,8438.76,8365.63,8410.24,197.37
1526936400000,8410.24,8414.95,8379.4,8383.8,167.08
1526940000000,8383.8,8397.0,8367.31,8397.0,127.26
1526943600000,8397.0,8412.41,8380.43,8393.44,106.87
1526947200000,8393.44,8400.0,8340.85,8363.4,167.7
1526950800000,8363.4,8363.4,8263.0,8284.87,277.6
1526954400000,8284.87,8315.7,8270.76,8294.02,165.59
1526958000000,8294.02,8325.0,8290.0,8321.84,90.99
1526961600000,8321.84,8329.0,8280.0,8288.01,120.2
1526965200000,8288.01,8304.24,8280.0,8297.46,109.91
1526968800000,8297.46,8349.0,8281.86,8318.31,256.55
1526972400000,8318.31,8328.96,8303.0,8315.78,44.95
1526976000000,8315.78,8315.79,8290.84,8290.85,66.6
1526979600000,8290.85,8290.85,8225.0,8234.55,227.55
1526983200000,8234.55,8273.1,8234.55,8250.0,168.86
1526986800000,8250.0,8260.0,8197.74,8201.76,286.8
1526990400000,8201.76,8209.96,8145.06,8170.99,468.89
1526994000000,8170.99,8232.65,8170.99,8224.15,422.02
1526997600000,8224.15,8231.84,8198.51,8228.0,248.11
1527001200000,8228.0,8240.0,8205.91,8230.35,148.08
1527004800000,8230.35,8239.99,8216.0,8220.49,235.76
1527008400000,8220.49,8235.2,8215.0,8215.0,294.33
1527012000000,8215.0,8219.72,8190.84,8204.96,209.57
1527015600000,8204.96,8216.59,8164.76,8186.4,302.96
1527019200000,8186.4,8195.81,8100.0,8108.94,407.28
1527022800000,8108.94,8108.94,8063.77,8070.01,518.85
1527026400000,8070.01,8100.01,7950.0,7970.38,781.21
1527030000000,7970.38,8043.28,7970.37,7987.7,569.07
1527033600000,7987.7,8030.0,7953.04,7963.0,483.7
1527037200000,7963.0,7963.0,7864.0,7911.52,875.69
1527040800000,7911.52,7927.0,7883.0,7908.01,446.55
1527044400000,7908.01,7973.28,7901.24,7952.09,380.28
1527048000000,7952.09,7952.45,7881.21,7897.0,369.29
1527051600000,7897.0,7932.4,7888.16,7912.51,287.61
1527055200000,7912.51,7949.72,7903.0,7945.13,108.06
1527058800000,7945.13,7945.13,7813.23,7859.92,643.79
1527062400000,7859.92,7889.38,7812.49,7851.0,368.72
1527066000000,7851.0,7866.56,7809.0,7850.31,247.99
1527069600000,7850.31,7911.46,7835.0,7849.03,254.06
1527073200000,7849.03,7877.32,7808.23,7860.0,280.63
1527076800000,7860.0,7936.0,7850.29,7915.0,296.06
1527080400000,7915.0,7938.65,7885.9,7904.0,253.81
